source,identifier,reason,detail
bse_all,731075,out_of_scope_segment,Commercial Papers
bse_all,731078,out_of_scope_segment,Commercial Papers
bse_all,731091,out_of_scope_segment,Commercial Papers
bse_all,731097,out_of_scope_segment,Commercial Papers
bse_all,731107,out_of_scope_segment,Commercial Papers
bse_all,731110,out_of_scope_segment,Commercial Papers
bse_all,731131,out_of_scope_segment,Commercial Papers
bse_all,731137,out_of_scope_segment,Commercial Papers
bse_all,731138,out_of_scope_segment,Commercial Papers
bse_all,731142,out_of_scope_segment,Commercial Papers
bse_all,731146,out_of_scope_segment,Commercial Papers
bse_all,731149,out_of_scope_segment,Commercial Papers
bse_all,731156,out_of_scope_segment,Commercial Papers
bse_all,731162,out_of_scope_segment,Commercial Papers
bse_all,731164,out_of_scope_segment,Commercial Papers
bse_all,731167,out_of_scope_segment,Commercial Papers
bse_all,731168,out_of_scope_segment,Commercial Papers
bse_all,731175,out_of_scope_segment,Commercial Papers
bse_all,731177,out_of_scope_segment,Commercial Papers
bse_all,731179,out_of_scope_segment,Commercial Papers
bse_all,731181,out_of_scope_segment,Commercial Papers
bse_all,731187,out_of_scope_segment,Commercial Papers
bse_all,731190,out_of_scope_segment,Commercial Papers
bse_all,731193,out_of_scope_segment,Commercial Papers
bse_all,731194,out_of_scope_segment,Commercial Papers
bse_all,731198,out_of_scope_segment,Commercial Papers
bse_all,731200,out_of_scope_segment,Commercial Papers
bse_all,731201,out_of_scope_segment,Commercial Papers
bse_all,731206,out_of_scope_segment,Commercial Papers
bse_all,731212,out_of_scope_segment,Commercial Papers
bse_all,731216,out_of_scope_segment,Commercial Papers
bse_all,731223,out_of_scope_segment,Commercial Papers
bse_all,731224,out_of_scope_segment,Commercial Papers
bse_all,731228,out_of_scope_segment,Commercial Papers
bse_all,731230,out_of_scope_segment,Commercial Papers
bse_all,731232,out_of_scope_segment,Commercial Papers
bse_all,731236,out_of_scope_segment,Commercial Papers
bse_all,731237,out_of_scope_segment,Commercial Papers
bse_all,731242,out_of_scope_segment,Commercial Papers
bse_all,731258,out_of_scope_segment,Commercial Papers
bse_all,731259,out_of_scope_segment,Commercial Papers
bse_all,731261,out_of_scope_segment,Commercial Papers
bse_all,731265,out_of_scope_segment,Commercial Papers
bse_all,731272,out_of_scope_segment,Commercial Papers
bse_all,731275,out_of_scope_segment,Commercial Papers
bse_all,731277,out_of_scope_segment,Commercial Papers
bse_all,731278,out_of_scope_segment,Commercial Papers
bse_all,731285,out_of_scope_segment,Commercial Papers
bse_all,731287,out_of_scope_segment,Commercial Papers
bse_all,731299,out_of_scope_segment,Commercial Papers
bse_all,731301,out_of_scope_segment,Commercial Papers
bse_all,731305,out_of_scope_segment,Commercial Papers
bse_all,731306,out_of_scope_segment,Commercial Papers
bse_all,731310,out_of_scope_segment,Commercial Papers
bse_all,731312,out_of_scope_segment,Commercial Papers
bse_all,731313,out_of_scope_segment,Commercial Papers
bse_all,731320,out_of_scope_segment,Commercial Papers
bse_all,731322,out_of_scope_segment,Commercial Papers
bse_all,731325,out_of_scope_segment,Commercial Papers
bse_all,731327,out_of_scope_segment,Commercial Papers
bse_all,731332,out_of_scope_segment,Commercial Papers
bse_all,731343,out_of_scope_segment,Commercial Papers
bse_all,731347,out_of_scope_segment,Commercial Papers
bse_all,731351,out_of_scope_segment,Commercial Papers
bse_all,731353,out_of_scope_segment,Commercial Papers
bse_all,731354,out_of_scope_segment,Commercial Papers
bse_all,731356,out_of_scope_segment,Commercial Papers
bse_all,731361,out_of_scope_segment,Commercial Papers
bse_all,731362,out_of_scope_segment,Commercial Papers
bse_all,731363,out_of_scope_segment,Commercial Papers
bse_all,731371,out_of_scope_segment,Commercial Papers
bse_all,731377,out_of_scope_segment,Commercial Papers
bse_all,731379,out_of_scope_segment,Commercial Papers
bse_all,731386,out_of_scope_segment,Commercial Papers
bse_all,731390,out_of_scope_segment,Commercial Papers
bse_all,731391,out_of_scope_segment,Commercial Papers
bse_all,731402,out_of_scope_segment,Commercial Papers
bse_all,731406,out_of_scope_segment,Commercial Papers
bse_all,731407,out_of_scope_segment,Commercial Papers
bse_all,731408,out_of_scope_segment,Commercial Papers
bse_all,731414,out_of_scope_segment,Commercial Papers
bse_all,731418,out_of_scope_segment,Commercial Papers
bse_all,731421,out_of_scope_segment,Commercial Papers
bse_all,731423,out_of_scope_segment,Commercial Papers
bse_all,731424,out_of_scope_segment,Commercial Papers
bse_all,731425,out_of_scope_segment,Commercial Papers
bse_all,731427,out_of_scope_segment,Commercial Papers
bse_all,731428,out_of_scope_segment,Commercial Papers
bse_all,731429,out_of_scope_segment,Commercial Papers
bse_all,731432,out_of_scope_segment,Commercial Papers
bse_all,731433,out_of_scope_segment,Commercial Papers
bse_all,731434,out_of_scope_segment,Commercial Papers
bse_all,731442,out_of_scope_segment,Commercial Papers
bse_all,731443,out_of_scope_segment,Commercial Papers
bse_all,731444,out_of_scope_segment,Commercial Papers
bse_all,731451,out_of_scope_segment,Commercial Papers
bse_all,731454,out_of_scope_segment,Commercial Papers
bse_all,731455,out_of_scope_segment,Commercial Papers
bse_all,731458,out_of_scope_segment,Commercial Papers
bse_all,731459,out_of_scope_segment,Commercial Papers
bse_all,731464,out_of_scope_segment,Commercial Papers
bse_all,731468,out_of_scope_segment,Commercial Papers
bse_all,731469,out_of_scope_segment,Commercial Papers
bse_all,731475,out_of_scope_segment,Commercial Papers
bse_all,731479,out_of_scope_segment,Commercial Papers
bse_all,731480,out_of_scope_segment,Commercial Papers
bse_all,731483,out_of_scope_segment,Commercial Papers
bse_all,731494,out_of_scope_segment,Commercial Papers
bse_all,731496,out_of_scope_segment,Commercial Papers
bse_all,731500,out_of_scope_segment,Commercial Papers
bse_all,731509,out_of_scope_segment,Commercial Papers
bse_all,731512,out_of_scope_segment,Commercial Papers
bse_all,731514,out_of_scope_segment,Commercial Papers
bse_all,731524,out_of_scope_segment,Commercial Papers
bse_all,731527,out_of_scope_segment,Commercial Papers
bse_all,731532,out_of_scope_segment,Commercial Papers
bse_all,731534,out_of_scope_segment,Commercial Papers
bse_all,731538,out_of_scope_segment,Commercial Papers
bse_all,731541,out_of_scope_segment,Commercial Papers
bse_all,731543,out_of_scope_segment,Commercial Papers
bse_all,731544,out_of_scope_segment,Commercial Papers
bse_all,731545,out_of_scope_segment,Commercial Papers
bse_all,731547,out_of_scope_segment,Commercial Papers
bse_all,731549,out_of_scope_segment,Commercial Papers
bse_all,731550,out_of_scope_segment,Commercial Papers
bse_all,731552,out_of_scope_segment,Commercial Papers
bse_all,731554,out_of_scope_segment,Commercial Papers
bse_all,731558,out_of_scope_segment,Commercial Papers
